feat1,bin1,lo1,hi1,feat2,bin2,lo2,hi2,class_id,n_images,n_anns,AP,AP50,AR1,AR10,AR100,MR2,AP_R50,AP50_R50,tag,med_luma,med_rms_contrast,med_wavelet_mad_db1,med_laplacian_score,med_median_h_r50_px
wavelet_mad_db1,0,1.186063750926614,2.520385470719054,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,4826,1973,0.48291447915946034,0.7805925990921785,0.36467308667004567,0.5670045615813483,0.5672579827673595,0.16548439081246405,0.5438458541566625,0.8624420673035263,wavelet_mad_db1_00_1.186-2.52__laplacian_score_00_1.861e+04-8.142e+04,64.21252645797729,0.7365433912559798,2.0756115641215747,62411.85975856781,94.0
wavelet_mad_db1,0,1.186063750926614,2.520385470719054,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,2701,960,0.42211459152755365,0.6766482206742336,0.3577083333333334,0.5422916666666666,0.5422916666666666,0.28316194831048497,0.4758205757881435,0.7382703602744701,wavelet_mad_db1_00_1.186-2.52__laplacian_score_01_8.142e+04-1.039e+05,68.20634100036618,0.718986555494433,2.07561156412158,91768.39520530702,75.0
wavelet_mad_db1,0,1.186063750926614,2.520385470719054,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,2207,867,0.4377586222968768,0.7364145694781636,0.30449826989619383,0.5508650519031142,0.5519031141868512,0.22871730568884024,0.4995023760723736,0.802249045394615,wavelet_mad_db1_00_1.186-2.52__laplacian_score_02_1.039e+05-1.313e+05,69.04644069976806,0.7201714629537235,2.0756115641215804,116512.41000366211,111.5
wavelet_mad_db1,0,1.186063750926614,2.520385470719054,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,3183,935,0.36942036077351303,0.6981572821045829,0.3376470588235294,0.5331550802139038,0.5337967914438503,0.2147044299269511,0.4152430746072424,0.7632436731538768,wavelet_mad_db1_00_1.186-2.52__laplacian_score_03_1.313e+05-3.528e+05,70.31975145263672,0.7213925025384523,2.075611564121578,154796.22427635192,100.0
wavelet_mad_db1,1,2.520385470719054,3.039288361749443,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,3514,507,0.5429076360582568,0.8431292456814813,0.41479289940828395,0.6309664694280079,0.6309664694280079,0.08937169229816179,0.5847652720573364,0.8979532653660671,wavelet_mad_db1_01_2.52-3.039__laplacian_score_00_1.861e+04-8.142e+04,73.88685271072387,0.7148219705772259,2.816901408450703,68464.32060165406,70.5
wavelet_mad_db1,1,2.520385470719054,3.039288361749443,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3277,436,0.24492686763924323,0.46639145084461203,0.22981651376146792,0.3807339449541284,0.3814220183486238,0.3551649587877622,0.3099248412924549,0.5565400390648736,wavelet_mad_db1_01_2.52-3.039__laplacian_score_01_8.142e+04-1.039e+05,72.78019398651124,0.7386336840316736,2.8169014084507027,91863.86178550721,79.0
wavelet_mad_db1,1,2.520385470719054,3.039288361749443,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,2886,718,0.31018282378573303,0.6166828617823636,0.2565459610027855,0.4954038997214485,0.4954038997214485,0.2698054652152125,0.3385751902186563,0.6606608943229193,wavelet_mad_db1_01_2.52-3.039__laplacian_score_02_1.039e+05-1.313e+05,74.08722442474365,0.7090461845999647,2.8169014084507027,116661.8114827633,91.0
wavelet_mad_db1,1,2.520385470719054,3.039288361749443,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,3159,896,0.3438779981974704,0.6555790990731788,0.3169642857142857,0.5172991071428571,0.5174107142857143,0.30519178352978027,0.3691068936576689,0.6822235623966559,wavelet_mad_db1_01_2.52-3.039__laplacian_score_03_1.313e+05-3.528e+05,74.37886070709229,0.7100375171425947,2.8169014084507014,153521.52151784897,90.0
wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,2531,440,0.2812955309982767,0.5002161242351565,0.18318181818181817,0.3977272727272727,0.3977272727272727,0.4635901308931933,0.284848842133483,0.4990134516376991,wavelet_mad_db1_02_3.039-3.484__laplacian_score_00_1.861e+04-8.142e+04,68.45453226776122,0.7951104266883692,3.2616753150481816,68591.3865951538,101.0
wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3165,235,0.3879703365823426,0.675801087373152,0.36340425531914894,0.4906382978723404,0.4906382978723404,0.25645874240303734,0.41194451706348734,0.7061930686229978,wavelet_mad_db1_02_3.039-3.484__laplacian_score_01_8.142e+04-1.039e+05,71.43460251617432,0.7660221417444334,3.2616753150481843,93637.18561859132,88.0
wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,3614,454,0.35442313396910935,0.6630103769655807,0.3066079295154185,0.4885462555066079,0.4889867841409692,0.20169396758478164,0.4137833414155217,0.7408757608860664,wavelet_mad_db1_02_3.039-3.484__laplacian_score_02_1.039e+05-1.313e+05,72.25378752059936,0.7679003810869911,3.261675315048185,116238.3447526455,88.0
wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,3755,781,0.37395275955448354,0.6882343440794976,0.3134443021766965,0.5218950064020488,0.5229193341869399,0.2451061324667108,0.40992400567837295,0.7318742061769856,wavelet_mad_db1_02_3.039-3.484__laplacian_score_03_1.313e+05-3.528e+05,73.85376379547121,0.7370230852822628,3.261675315048183,151029.44131002427,86.0
wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,2091,59,0.1981273195687089,0.39653875653423293,0.20847457627118643,0.3203389830508474,0.3203389830508474,0.4585507293195332,0.23316316406409798,0.46209029976940946,wavelet_mad_db1_03_3.484-9.59__laplacian_score_00_1.861e+04-8.142e+04,64.24491198120118,0.8708904229356976,4.0029651593773155,71578.02638206483,156.5
wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3819,271,0.3077837048637413,0.5333369580146696,0.35350553505535054,0.43690036900369006,0.43690036900369006,0.30396964621300027,0.34140578598351484,0.5834306526720645,wavelet_mad_db1_03_3.484-9.59__laplacian_score_01_8.142e+04-1.039e+05,71.16585826416015,0.8185749413487058,4.225352112676049,92782.70200185776,130.0
wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,4254,390,0.2717102468807336,0.5125667777684224,0.3069230769230769,0.37205128205128196,0.37205128205128196,0.3563996555314578,0.3135592760206451,0.5764847397331966,wavelet_mad_db1_03_3.484-9.59__laplacian_score_02_1.039e+05-1.313e+05,75.0161989906311,0.8140879705028066,4.151223128243143,117168.35269083978,95.0
wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,2866,257,0.24254486514101023,0.43182598088535606,0.32373540856031124,0.38832684824902725,0.38832684824902725,0.2810130293815574,0.3125490877667146,0.5398200533793832,wavelet_mad_db1_03_3.484-9.59__laplacian_score_03_1.313e+05-3.528e+05,79.41339107360841,0.7223883996575646,3.9473684210526345,146968.25271224976,107.0

